Wall time,Step,Value
1620562408.902462,100,0.0049409279599785805
1620562506.500883,200,0.0025894909631460905
1620562605.3097923,300,0.002172952052205801
1620562704.4225323,400,0.0014588326448574662
1620562803.0917323,500,0.001322317635640502
1620562901.7872226,600,0.0011053914204239845
1620563000.500994,700,0.0009665506076999009
1620563098.5200653,800,0.0010412378469482064
1620563196.4892094,900,0.0009971919935196638
1620563293.7398543,1000,0.0007689536432735622
1620563392.4418795,1100,0.0008592403610236943
1620563490.346983,1200,0.0006254777545109391
1620563588.0220692,1300,0.0008788043633103371
1620563686.7934597,1400,0.0006008570198900998
1620563784.4393897,1500,0.0006937762955203652
1620563882.2337873,1600,0.0005782851949334145
1620563983.8323655,1700,0.00047230138443410397
1620564082.6329365,1800,0.000521016598213464
1620564180.9761019,1900,0.0005042574484832585
1620564280.331135,2000,0.00044445012463256717
1620564379.6111887,2100,0.0003981395566370338
1620564477.9174125,2200,0.00037820980651304126
1620564574.441425,2300,0.00036698835901916027
1620564671.785489,2400,0.0004125778505112976
1620564767.8075697,2500,0.00038997200317680836
1620564863.4669437,2600,0.0003434586978983134
1620564959.3702085,2700,0.0003366094024386257
1620565054.847713,2800,0.0003224945976398885
1620565150.9547355,2900,0.00032001087674871087
1620565245.6856341,3000,0.00034079639590345323
1620565341.4716158,3100,0.0003163836954627186
1620565436.3196452,3200,0.0002848383446689695
1620565530.6798964,3300,0.0003383564471732825
1620565628.5952785,3400,0.0002866369322873652
1620565725.7559261,3500,0.00026721955509856343
1620565821.7078452,3600,0.0002182796160923317
1620565917.7650778,3700,0.00024043457233347
1620566012.9186647,3800,0.00027177631272934377
1620566109.2648728,3900,0.00022911843552719802
1620566205.3561652,4000,0.0003071474493481219
1620566303.0764008,4100,0.00017877682694233954
1620566399.9751472,4200,0.0001877781905932352
1620566495.9092839,4300,0.0002255640720250085
1620566590.635825,4400,0.0002396889467490837
1620566686.543388,4500,0.00019464893557596952
1620566781.9414492,4600,0.00021594185091089457
1620566878.6310556,4700,0.00017707822553347796
1620566976.5667057,4800,0.00018290255684405565
1620567075.5614195,4900,0.00017528602620586753
1620567174.3957627,5000,0.00018735141202341765
1620567608.028478,5100,0.00020021118689328432
1620567706.0029979,5200,0.00016683046123944223
1620567803.841813,5300,0.0001811043475754559
1620567901.5023272,5400,0.0001502640516264364
1620567999.8083975,5500,0.0001666110911173746
1620568097.5368357,5600,0.00013456796295940876
1620568195.7093594,5700,0.00014289541286416352
1620568293.1723301,5800,0.00016492375289089978
1620568390.389761,5900,0.00017760583432391286
1620568486.0632944,6000,0.00014131885836832225
