Wall time,Step,Value
1621398007.67291,100,0.004970095586032
1621398147.07732,200,0.002611528616399
1621398286.37093,300,0.002192621817812
1621398424.87607,400,0.001475342549384
1621398563.19798,500,0.001338223111816
1621398699.74459,600,0.001119417720474
1621398837.78484,700,0.000980608747341
1621398976.56078,800,0.001054963213392
1621399115.423,900,0.001010090578347
1621399253.34173,1000,0.0007809282979
1621399394.24764,1100,0.000871409778483
1621399532.48085,1200,0.000636303506326
1621399670.94627,1300,0.000891150091775
1621399809.14261,1400,0.000611719326116
1621399948.62742,1500,0.000704203848727
1621400087.80635,1600,0.000588454538956
1621400226.62834,1700,0.000482086790726
1621400364.88654,1800,0.000530952122062
1621400503.58938,1900,0.000514070445206
1621400640.99324,2000,0.000453958840808
1621400780.65078,2100,0.000407134619309
1621400918.93478,2200,0.00038709063665
1621401057.01315,2300,0.000375492119929
1621401193.1356,2400,0.0004211498308
1621401329.8018,2500,0.000398498668801
1621401466.58442,2600,0.000352073373506
1621401603.17057,2700,0.000345181761077
1621401739.29242,2800,0.000330457522068
1621401877.72059,2900,0.000327657558955
1621402015.02926,3000,0.000348731555277
1621402154.1786,3100,0.00032438186463
1621402289.21106,3200,0.000292209297186
1621402424.91134,3300,0.000346490327502
1621402562.2086,3400,0.000293913064525
1621402699.13874,3500,0.000274412537692
1621402838.25477,3600,0.000225260126172
1621402978.35571,3700,0.000247547228355
1621403116.99176,3800,0.000279207946733
1621403254.89664,3900,0.000236556734308
1621403392.03493,4000,0.000314975390211
1621403531.95947,4100,0.000185419354239
1621403669.47712,4200,0.000194553955225
1621403807.70725,4300,0.000232536563999
1621403944.90021,4400,0.000246565556154
1621404082.5109,4500,0.000201045419089
1621404219.712,4600,0.000222924078116
1621404357.76918,4700,0.000183624768397
1621404495.33241,4800,0.000189277343452
1621404633.06324,4900,0.000181586205144
1621404770.52576,5000,0.000193799351109
1621406605.55186,5100,0.00020698129083
1621406744.24029,5200,0.000173084583366
1621406882.4658,5300,0.000187670797459
1621407019.47981,5400,0.000156607187819
1621407157.55523,5500,0.000172295229277
1621407296.12631,5600,0.000140314543387
1621407435.63618,5700,0.000149347542902
1621407575.97645,5800,0.000171130333911
1621407714.53193,5900,0.000183814641787
1621407853.18285,6000,0.000147216051118
1621407994.38117,6100,0.000156002861331
1621408133.95775,6200,0.000124636047985
1621408273.43922,6300,0.000189956073882
1621408411.70158,6400,0.000136214264785
1621408549.67169,6500,0.000162750307936
1621408687.44604,6600,0.000147388258483
1621408825.35326,6700,0.000120634809718
1621408963.21351,6800,0.000142290780786
1621409101.79774,6900,0.000124510406749
1621409240.13977,7000,0.000128483370645
1621409381.34778,7100,0.000120265882288
1621409518.91958,7200,0.000116213508591
1621409657.54071,7300,0.000113138266897
1621409796.514,7400,0.000132729925099
1621409934.48934,7500,0.000126465427456
1621410072.70316,7600,0.000107022249722
1621410212.55445,7700,0.000107791296614
1621410351.22124,7800,0.000118473020848
1621410490.96989,7900,0.000129902982735
1621410628.04673,8000,0.0001179998726
1621410766.50191,8100,0.000113949747174
1621410904.43306,8200,0.000104578859464
1621411043.05226,8300,0.000133521840326
1621411181.20131,8400,0.000102423102362
1621411317.35825,8500,9.50894464040175E-05
1621411454.82117,8600,7.82626302680001E-05
1621411593.36259,8700,9.7637326689437E-05
1621411730.63745,8800,0.000112501882541
